,UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY,UID_new
116,473_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,165.0,2021-08-24 11:30:31,-89.0,4.285818,Foreground,0.94,164.0
117,607_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:30:32,-61.0,0.856379,Foreground,0.94,146.0
118,607_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161.0,2021-08-24 11:30:32,-88.0,4.003749,Foreground,0.94,160.0
119,854_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164.0,2021-08-24 11:30:32,-90.0,4.587381,Foreground,0.94,164.0
120,997_b28e7807-3517-4048-90cd-29e4826ae511,169.0,2021-08-24 11:30:35,-86.0,3.493897,Foreground,0.94,168.0
121,434_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153.0,2021-08-24 11:30:36,-85.0,3.264133,Foreground,0.94,152.0
122,791_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148.0,2021-08-24 11:30:36,-75.0,1.687518,Foreground,0.94,148.0
123,614_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:30:39,-61.0,0.529864,Foreground,0.94,146.0
124,724_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:30:40,-66.0,0.791778,Foreground,0.94,146.0
125,596_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:30:40,-78.0,2.043847,Foreground,0.94,148.0
126,819_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166.0,2021-08-24 11:30:40,-84.0,3.049896,Foreground,0.94,166.0
127,418_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161.0,2021-08-24 11:30:41,-86.0,3.493897,Foreground,0.94,160.0
128,891_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:30:41,-71.0,1.63586,Foreground,0.94,148.0
129,787_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156.0,2021-08-24 11:30:41,-75.0,1.687518,Foreground,0.94,156.0
130,787_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,160.0,2021-08-24 11:30:41,-86.0,3.493897,Foreground,0.94,160.0
131,697_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:30:42,-70.0,1.254315,Foreground,0.94,150.0
132,697_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154.0,2021-08-24 11:30:42,-91.0,4.909544,Foreground,0.94,154.0
133,424_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:30:43,-69.0,1.187304,Foreground,0.94,146.0
134,294_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161.0,2021-08-24 11:30:44,-72.0,1.406595,Foreground,0.94,160.0
135,953_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:30:44,-64.0,1.069498,Foreground,0.94,150.0
136,630_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167.0,2021-08-24 11:30:46,-70.0,1.254315,Foreground,0.94,166.0
137,143_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151.0,2021-08-24 11:30:46,-62.0,0.623424,Foreground,0.94,150.0
138,329_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:30:47,-69.0,1.187304,Foreground,0.94,146.0
139,329_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156.0,2021-08-24 11:30:47,-83.0,2.850302,Foreground,0.94,156.0
140,625_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,161.0,2021-08-24 11:30:48,-72.0,1.406595,Foreground,0.94,160.0
141,19_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:30:48,-64.0,1.043149,Foreground,0.94,146.0
142,111_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:30:49,-71.0,1.327268,Foreground,0.94,148.0
143,960_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151.0,2021-08-24 11:30:49,-72.0,1.406595,Foreground,0.94,150.0
144,936_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:30:51,-61.0,0.529864,Foreground,0.94,146.0
145,834_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:30:53,-67.0,1.069498,Foreground,0.94,146.0
146,203_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,164.0,2021-08-24 11:30:53,-89.0,4.285818,Foreground,0.94,164.0
147,582_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151.0,2021-08-24 11:30:53,-66.0,1.017953,Foreground,0.94,150.0
148,989_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153.0,2021-08-24 11:30:54,-64.0,0.856379,Foreground,0.94,152.0
