,UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY,UID_new
125,932_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153.0,2021-08-24 11:52:24,-87.0,18.0,Foreground,0.85,152.0
126,932_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161.0,2021-08-24 11:52:24,-91.0,29.1,Foreground,0.85,160.0
127,243_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:52:24,-66.0,0.8,Foreground,0.85,148.0
128,684_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148.0,2021-08-24 11:52:24,-66.0,1.0,Foreground,0.85,148.0
129,684_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150.0,2021-08-24 11:52:24,-66.0,1.1,Foreground,0.85,150.0
130,684_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146.0,2021-08-24 11:52:24,-86.0,3.6,Foreground,0.85,146.0
131,684_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170.0,2021-08-24 11:52:24,-80.0,11.6,Foreground,0.85,170.0
132,684_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154.0,2021-08-24 11:52:24,-86.0,19.2,Foreground,0.85,154.0
133,684_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156.0,2021-08-24 11:52:24,-95.0,23.1,Foreground,0.85,156.0
134,684_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164.0,2021-08-24 11:52:24,-88.0,27.1,Foreground,0.85,164.0
135,540_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151.0,2021-08-24 11:52:24,-63.0,1.1,Foreground,0.85,150.0
136,540_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171.0,2021-08-24 11:52:24,-87.0,15.9,Foreground,0.85,170.0
137,540_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165.0,2021-08-24 11:52:24,-94.0,34.9,Foreground,0.85,164.0
138,116_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147.0,2021-08-24 11:52:25,-76.0,2.2,Foreground,0.85,146.0
139,116_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167.0,2021-08-24 11:52:25,-83.0,12.2,Foreground,0.85,166.0
140,116_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153.0,2021-08-24 11:52:25,-93.0,20.2,Foreground,0.85,152.0
141,116_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161.0,2021-08-24 11:52:25,-95.0,31.4,Foreground,0.85,160.0
142,33_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:52:25,-63.0,0.8,Foreground,0.85,148.0
143,33_B28E7807-3517-4048-90CD-29E4826AE511,169.0,2021-08-24 11:52:25,-87.0,12.0,Foreground,0.85,168.0
144,723_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148.0,2021-08-24 11:52:25,-65.0,1.0,Foreground,0.85,148.0
145,723_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146.0,2021-08-24 11:52:25,-72.0,3.3,Foreground,0.85,146.0
146,723_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166.0,2021-08-24 11:52:25,-82.0,11.5,Foreground,0.85,166.0
147,723_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154.0,2021-08-24 11:52:25,-86.0,18.4,Foreground,0.85,154.0
148,723_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164.0,2021-08-24 11:52:25,-88.0,25.3,Foreground,0.85,164.0
149,723_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152.0,2021-08-24 11:52:25,-94.0,26.0,Foreground,0.85,152.0
150,374_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171.0,2021-08-24 11:52:25,-87.0,16.0,Foreground,0.85,170.0
151,374_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165.0,2021-08-24 11:52:25,-93.0,35.1,Foreground,0.85,164.0
