,UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY,UID_new
25,992_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151.0,2021-08-24 11:15:07,-64.0,0.856379,Foreground,0.44,150.0
26,46_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162.0,2021-08-24 11:15:08,-99.0,8.378592,Foreground,0.44,162.0
27,12_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:15:09,-81.0,2.255231,Foreground,0.44,146.0
28,291_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152.0,2021-08-24 11:15:09,-96.0,4.285818,Foreground,0.44,152.0
29,815_b28e7807-3517-4048-90cd-29e4826ae511,155.0,2021-08-24 11:15:11,-85.0,3.264133,Foreground,0.44,154.0
30,65_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166.0,2021-08-24 11:15:11,-87.0,3.740113,Foreground,0.44,166.0
31,981_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:15:12,-78.0,2.043847,Foreground,0.44,146.0
32,833_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:15:13,-76.0,1.79717,Foreground,0.45,148.0
33,484_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,166.0,2021-08-24 11:15:13,-85.0,3.493897,Foreground,0.45,166.0
34,484_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,162.0,2021-08-24 11:15:13,-94.0,6.011473,Foreground,0.45,162.0
35,413_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:15:15,-65.0,0.97085,Foreground,0.45,150.0
36,261_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,171.0,2021-08-24 11:15:15,-89.0,4.285818,Foreground,0.45,170.0
37,73_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167.0,2021-08-24 11:15:16,-89.0,4.285818,Foreground,0.45,166.0
38,746_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148.0,2021-08-24 11:15:16,-73.0,1.492753,Foreground,0.45,148.0
39,746_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,156.0,2021-08-24 11:15:16,-83.0,2.850302,Foreground,0.45,156.0
40,746_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,152.0,2021-08-24 11:15:16,-87.0,3.740113,Foreground,0.45,152.0
41,983_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:15:17,-63.0,0.856379,Foreground,0.45,150.0
42,630_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:15:19,-69.0,1.017953,Foreground,0.45,150.0
43,630_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:15:19,-83.0,2.850302,Foreground,0.45,146.0
44,361_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:15:20,-69.0,1.187304,Foreground,0.45,146.0
45,418_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151.0,2021-08-24 11:15:20,-64.0,0.856379,Foreground,0.45,150.0
46,66_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148.0,2021-08-24 11:15:21,-72.0,1.406595,Foreground,0.45,148.0
47,479_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153.0,2021-08-24 11:15:22,-92.0,5.253466,Foreground,0.45,152.0
48,61_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:15:22,-75.0,1.687518,Foreground,0.45,148.0
49,17_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:15:22,-71.0,1.327268,Foreground,0.45,146.0
50,17_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:15:22,-83.0,2.850302,Foreground,0.45,150.0
51,215_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:15:24,-76.0,1.741264,Foreground,0.45,148.0
52,430_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:15:24,-71.0,1.327268,Foreground,0.45,146.0
53,430_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:15:24,-84.0,2.948322,Foreground,0.45,150.0
54,173_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,157.0,2021-08-24 11:15:24,-95.0,6.428136,Foreground,0.45,156.0
55,923_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151.0,2021-08-24 11:15:25,-80.0,2.331154,Foreground,0.45,150.0
56,719_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148.0,2021-08-24 11:15:26,-64.0,0.856379,Foreground,0.45,148.0
